Linux 5.14.0-427.el9.x86_64 (centos) 	06/27/2024 	_x86_64_	(16 CPU)

12:04:20 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
12:04:31 AM    9   58.00    0.00   23.00    0.00    1.00    8.00    0.00    0.00    0.00   10.00
12:04:31 AM   10   49.00    0.00   20.00    0.00    1.00    9.00    0.00    0.00    0.00   21.00
12:04:31 AM   11   49.00    0.00   20.00    0.00    0.00   11.00    1.00    0.00    0.00   19.00
12:04:31 AM   12   57.14    0.00   24.49    0.00    0.00   10.20    0.00    0.00    0.00    8.16
12:04:31 AM   13   51.49    0.00   19.80    0.00    0.99   10.89    0.00    0.00    0.00   16.83
12:04:31 AM   14   49.49    0.00   20.20    0.00    0.00   11.11    0.00    0.00    0.00   19.19
12:04:31 AM   15   56.44    0.00   26.73    0.00    0.99    9.90    0.00    0.00    0.00    5.94

12:04:31 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
12:04:32 AM  all   52.63    0.00   20.95    0.00    0.44   10.41    0.00    0.00    0.00   15.56
12:04:32 AM    0   43.00    0.00   19.00    0.00    0.00   13.00    0.00    0.00    0.00   25.00
12:04:32 AM    1   54.55    0.00   23.23    0.00    0.00    8.08    0.00    0.00    0.00   14.14
12:04:32 AM    2   53.06    0.00   18.37    0.00    1.02   11.22    0.00    0.00    0.00   16.33
12:04:32 AM    3   50.50    0.00   19.80    0.00    0.99   11.88    0.00    0.00    0.00   16.83
12:04:32 AM    4   47.00    0.00   19.00    0.00    1.00   12.00    0.00    0.00    0.00   21.00
12:04:32 AM    5   55.10    0.00   22.45    0.00    0.00   11.22    0.00    0.00    0.00   11.22
12:04:32 AM    6   41.00    0.00   20.00    0.00    0.00   10.00    0.00    0.00    0.00   29.00
12:04:32 AM    7   48.48    0.00   18.18    0.00    1.01   12.12    0.00    0.00    0.00   20.20
12:04:32 AM    8   57.58    0.00   20.20    0.00    0.00    9.09    0.00    0.00    0.00   13.13
12:04:32 AM    9   60.40    0.00   23.76    0.00    0.00    8.91    0.00    0.00    0.00    6.93
12:04:32 AM   10   62.00    0.00   21.00    0.00    0.00   10.00    0.00    0.00    0.00    7.00
12:04:32 AM   11   56.57    0.00   21.21    0.00    1.01    9.09    0.00    0.00    0.00   12.12
12:04:32 AM   12   54.46    0.00   21.78    0.00    0.99   12.87    0.00    0.00    0.00    9.90
12:04:32 AM   13   47.47    0.00   20.20    0.00    0.00   10.10    0.00    0.00    0.00   22.22
12:04:32 AM   14   55.45    0.00   20.79    0.00    0.99    7.92    0.00    0.00    0.00   14.85
12:04:32 AM   15   55.56    0.00   26.26    0.00    0.00    9.09    0.00    0.00    0.00    9.09

12:04:32 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
12:04:33 AM  all   52.35    0.00   19.95    0.00    0.44   10.57    0.00    0.00    0.00   16.70
12:04:33 AM    0   43.00    0.00   20.00    0.00    1.00   10.00    0.00    0.00    0.00   26.00
12:04:33 AM    1   51.00    0.00   20.00    0.00    1.00   13.00    0.00    0.00    0.00   15.00
12:04:33 AM    2   53.00    0.00   21.00    0.00    0.00    8.00    0.00    0.00    0.00   18.00
12:04:33 AM    3   46.94    0.00   18.37    0.00    0.00    9.18    0.00    0.00    0.00   25.51
12:04:33 AM    4   56.00    0.00   20.00    0.00    0.00   11.00    0.00    0.00    0.00   13.00
12:04:33 AM    5   53.47    0.00   20.79    0.00    0.99    9.90    0.00    0.00    0.00   14.85
12:04:33 AM    6   59.00    0.00   18.00    0.00    0.00   11.00    0.00    0.00    0.00   12.00
12:04:33 AM    7   49.00    0.00   20.00    0.00    0.00   10.00    0.00    0.00    0.00   21.00
12:04:33 AM    8   48.51    0.00   15.84    0.00    0.99   10.89    0.00    0.00    0.00   23.76
12:04:33 AM    9   54.00    0.00   22.00    0.00    1.00   12.00    0.00    0.00    0.00   11.00
12:04:33 AM   10   52.53    0.00   20.20    0.00    0.00   11.11    0.00    0.00    0.00   16.16
12:04:33 AM   11   51.52    0.00   19.19    0.00    0.00   12.12    0.00    0.00    0.00   17.17
12:04:33 AM   12   59.00    0.00   22.00    0.00    0.00    9.00    0.00    0.00    0.00   10.00
12:04:33 AM   13   53.47    0.00   20.79    0.00    0.99    9.90    0.00    0.00    0.00   14.85
12:04:33 AM   14   48.48    0.00   18.18    0.00    0.00   12.12    0.00    0.00    0.00   21.21
12:04:33 AM   15   58.42    0.00   22.77    0.00    0.99    9.90    0.00    0.00    0.00    7.92

12:04:33 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
12:04:34 AM  all   50.31    0.00   18.55    0.00    0.44   10.53    0.00    0.00    0.00   20.18
12:04:34 AM    0   52.53    0.00   19.19    0.00    0.00    9.09    0.00    0.00    0.00   19.19
12:04:34 AM    1   50.00    0.00   19.39    0.00    0.00   11.22    0.00    0.00    0.00   19.39
12:04:34 AM    2   52.94    0.00   20.59    0.00    0.98    9.80    0.00    0.00    0.00   15.69
12:04:34 AM    3   44.55    0.00   17.82    0.00    0.99    8.91    0.00    0.00    0.00   27.72
12:04:34 AM    4   52.53    0.00   19.19    0.00    1.01    9.09    0.00    0.00    0.00   18.18
12:04:34 AM    5   41.00    0.00   13.00    0.00    0.00   13.00    0.00    0.00    0.00   33.00
12:04:34 AM    6   51.00    0.00   18.00    0.00    1.00   11.00    0.00    0.00    0.00   19.00
12:04:34 AM    7   46.00    0.00   17.00    0.00    0.00   11.00    0.00    0.00    0.00   26.00
12:04:34 AM    8   53.00    0.00   19.00    0.00    0.00    9.00    0.00    0.00    0.00   19.00
12:04:34 AM    9   51.52    0.00   21.21    0.00    0.00    8.08    0.00    0.00    0.00   19.19
12:04:34 AM   10   50.00    0.00   20.00    0.00    1.00   10.00    0.00    0.00    0.00   19.00
12:04:34 AM   11   50.50    0.00   16.83    0.00    0.99   12.87    0.00    0.00    0.00   18.81
12:04:34 AM   12   54.46    0.00   19.80    0.00    0.99   11.88    0.00    0.00    0.00   12.87
12:04:34 AM   13   50.00    0.00   18.37    0.00    0.00   11.22    0.00    0.00    0.00   20.41
12:04:34 AM   14   53.54    0.00   20.20    0.00    0.00   11.11    0.00    0.00    0.00   15.15
12:04:34 AM   15   51.52    0.00   17.17    0.00    0.00   11.11    0.00    0.00    0.00   20.20

12:04:34 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
12:04:35 AM  all   52.75    0.00   19.52    0.00    0.19   11.20    0.00    0.00    0.00   16.33
12:04:35 AM    0   54.00    0.00   22.00    0.00    0.00   11.00    0.00    0.00    0.00   13.00
12:04:35 AM    1   51.49    0.00   19.80    0.00    0.00   10.89    0.00    0.00    0.00   17.82
12:04:35 AM    2   48.98    0.00   18.37    0.00    0.00   12.24    0.00    0.00    0.00   20.41
12:04:35 AM    3   54.55    0.00   21.21    0.00    0.00    9.09    0.00    0.00    0.00   15.15
12:04:35 AM    4   55.00    0.00   18.00    0.00    0.00   11.00    0.00    0.00    0.00   16.00
12:04:35 AM    5   53.47    0.00   19.80    0.00    0.99    8.91    0.00    0.00    0.00   16.83
12:04:35 AM    6   50.00    0.00   17.00    0.00    0.00   11.00    0.00    0.00    0.00   22.00
12:04:35 AM    7   52.53    0.00   15.15    0.00    1.01   13.13    0.00    0.00    0.00   18.18
